Id,CHURN,Gender,Status,Children,Est Income,Car Owner,Age,Paymethod,Usage,RatePlan,pChurn,3_Class,5_Class,is_test_set
0,T,F,S,1,38000.0,N,24.393333,CC,229.64,3,0.7860231264981079,1.0,0.75,False
1,F,M,M,2,29616.0,N,49.426667,CH,75.29,2,0.2539799247418754,0.5,0.25,False
2,F,M,M,0,19732.8,N,50.673333,CC,47.25,3,0.5332734357070316,0.5,0.5,False
3,F,M,S,2,96.33,N,56.473333,CC,59.01,1,0.6277107105664567,0.5,0.75,False
4,F,F,M,2,52004.8,N,25.14,CH,28.14,1,0.16522792473116205,0.0,0.25,False
5,F,M,M,2,53010.8,N,18.84,CC,58.87,1,0.16021430873573786,0.0,0.25,False
6,F,M,M,1,75004.5,N,64.8,CC,58.72,1,0.17388030183720599,0.0,0.25,False
7,F,M,M,0,19749.3,N,60.36666700000001,CC,34.17,3,0.508673327736316,0.5,0.5,False
8,F,M,S,1,57626.9,Y,43.906667,CC,48.35,2,0.6657504359392539,0.5,0.75,False
9,F,M,M,2,20078.0,N,32.846667,CC,15.98,4,0.2270905877716685,0.0,0.25,False
10,F,F,M,2,47902.0,N,26.033333,Auto,72.31,2,0.06757243537248925,0.0,0.0,False
11,T,M,M,1,7545.96,Y,16.753332999999998,CC,200.75,3,0.6185384686901659,0.5,0.5,False
12,T,F,S,0,78851.3,N,48.373333,CC,29.04,4,0.6713664482597035,0.5,0.75,False
13,T,F,S,1,17540.7,Y,62.786667,Auto,36.2,4,0.5366513953162649,0.5,0.5,False
14,T,F,M,0,83891.9,Y,61.02,CH,74.4,4,0.4039373023814825,0.5,0.5,False
15,T,F,M,2,28220.8,N,38.766667,CC,38.95,4,0.18488323118535088,0.0,0.25,False
16,T,F,S,0,28589.1,N,15.6,CC,100.28,4,0.8672719838079995,1.0,0.75,False
17,F,F,M,2,5237.63,N,48.753333000000005,CC,78.02,2,0.2334685646127393,0.0,0.25,False
18,T,M,S,2,89459.9,N,53.28,CC,36.05,2,0.30806873126357026,0.5,0.25,False
19,T,F,S,1,13576.5,N,39.426667,CC,40.49,1,0.7139251648050694,0.5,0.75,False
20,T,F,M,2,67388.0,N,53.12,CC,96.33,3,0.11514943214024105,0.0,0.0,False
21,F,F,M,1,57063.0,Y,52.333333,CH,98.1,4,0.3598637683285215,0.5,0.25,False
22,T,F,M,2,84166.1,N,54.013332999999996,CC,15.02,2,0.07007746705508176,0.0,0.0,False
23,T,F,S,1,7737.94,N,42.666667,CC,61.9,4,0.7680682425735269,1.0,0.75,True
24,T,M,S,2,100020.0,N,50.0,CH,314.62,4,0.5730881517660386,0.5,0.5,False
25,F,F,M,2,45287.6,Y,29.026667,CC,2.97,3,0.16556447279047448,0.0,0.25,False
26,T,F,M,2,59613.1,N,34.32,CC,175.78,1,0.15776503142824908,0.0,0.25,False
27,T,F,S,1,16326.7,N,50.613333000000004,CC,1.34,1,0.6657781609983212,0.5,0.75,False
28,T,F,S,2,9559.78,N,51.38,CC,77.91,3,0.5990988679058432,0.5,0.5,False
29,F,F,M,2,42031.8,N,50.753333000000005,CH,59.78,4,0.20049491481876436,0.0,0.25,True
30,F,F,M,2,83284.1,Y,28.42,Auto,35.96,4,0.04949268816907928,0.0,0.0,True
31,F,M,M,1,39229.1,N,26.26,CC,47.1,4,0.33902889660487256,0.5,0.25,False
32,F,F,S,0,68427.4,N,42.393333,Auto,73.81,3,0.516439762054879,0.5,0.5,True
33,T,M,S,0,3601.71,N,49.266667,Auto,125.6,4,0.7962578685723237,1.0,0.75,False
34,F,F,M,0,72642.6,N,27.646666999999997,CH,39.0,4,0.41654249016868455,0.5,0.5,False
35,T,F,S,0,98716.3,N,55.66,CC,43.13,4,0.6020891173000938,0.5,0.5,False
36,F,F,S,2,66182.7,Y,62.48,Auto,58.87,2,0.21020299236476647,0.0,0.25,False
37,T,F,M,2,84789.3,N,50.433333000000005,CH,33.47,4,0.10936598198365599,0.0,0.0,False
38,T,F,M,2,35976.5,Y,48.853333,Auto,50.63,4,0.08853688188489436,0.0,0.0,False
39,F,F,M,0,32703.1,Y,64.92,CC,72.89,4,0.5068772568370277,0.5,0.5,False
40,F,F,M,1,77129.1,Y,61.846667000000004,CH,44.85,4,0.25141042035337424,0.5,0.25,False
41,F,F,M,2,8204.72,N,52.973333,CH,39.79,3,0.26865563774706064,0.5,0.25,False
42,T,M,M,1,97180.4,N,50.6,CC,63.51,4,0.16313479019135702,0.0,0.25,False
43,F,F,M,0,80405.1,N,60.226667000000006,CC,28.98,4,0.2683665424629705,0.5,0.25,False
44,T,F,S,2,38280.0,N,33.74,Auto,86.61,4,0.31781054728889113,0.5,0.25,True
45,T,M,S,0,64136.6,Y,61.106667,CC,142.37,2,0.8135553512610741,1.0,0.75,False
46,T,F,M,2,45429.7,Y,61.713333,CH,97.74,2,0.21858511794414445,0.0,0.25,False
47,T,F,S,0,25285.5,N,53.986667000000004,CC,21.3,1,0.7865434870575636,1.0,0.75,False
48,F,F,M,2,77551.1,Y,33.6,CC,62.42,2,0.11884691408934762,0.0,0.0,False
49,T,F,M,0,38538.4,N,12.326667,CC,47.66,3,0.4805506966085669,0.5,0.5,True
50,F,F,S,0,69350.5,Y,57.42,CC,27.86,4,0.7339380822884196,0.5,0.75,False
51,T,M,S,2,43634.5,N,21.78,CC,143.5,1,0.5829920038433941,0.5,0.5,True
52,T,F,S,1,13109.1,N,62.606667,Auto,62.87,1,0.4805593771768684,0.5,0.5,False
53,T,M,S,1,92647.5,N,56.04666700000001,CC,32.13,4,0.4818457385664549,0.5,0.5,False
54,T,F,S,2,21021.6,Y,62.753333,CC,14.95,3,0.5480421985502026,0.5,0.5,False
55,T,M,S,0,74460.7,Y,55.34,CC,206.46,2,0.823949016826059,1.0,0.75,False
56,T,F,S,2,28787.4,N,41.666667,Auto,86.06,2,0.31551833984197586,0.5,0.25,False
57,F,M,M,1,13091.6,N,59.126667000000005,CC,43.06,2,0.3557427301754183,0.5,0.25,False
58,F,F,M,2,62061.8,Y,45.92,Auto,82.08,2,0.062249764800408065,0.0,0.0,False
59,T,F,M,1,20550.9,Y,22.12,CC,85.64,3,0.4375636911636459,0.5,0.5,True
60,F,M,M,2,1765.41,N,18.766667,CC,47.99,4,0.31644178053336763,0.5,0.25,False
61,T,F,S,2,19131.1,N,56.18666700000001,Auto,57.07,2,0.3089124551733144,0.5,0.25,False
62,F,F,S,2,83073.7,N,39.553333,CC,3.2,4,0.3117041893053921,0.5,0.25,False
63,F,M,M,2,42750.3,Y,50.493333,Auto,134.97,1,0.101639095008343,0.0,0.0,False
64,T,F,S,2,2842.55,N,45.92,Auto,0.79,2,0.3397953398554692,0.5,0.25,False
65,F,M,M,2,22358.1,N,52.626667000000005,CC,29.25,1,0.1832269020590473,0.0,0.25,True
66,F,M,M,0,47870.8,Y,27.26,CC,13.82,2,0.4815300633151615,0.5,0.5,False
67,F,F,S,2,6440.46,Y,52.646667,CH,49.86,1,0.6885270233324889,0.5,0.75,True
68,T,F,S,0,7325.5,N,36.92,CC,190.06,2,0.9025099178454388,1.0,1.0,False
69,F,M,M,2,28766.9,N,46.84,CC,64.2,1,0.1897321028289917,0.0,0.25,True
70,F,M,M,2,91272.2,Y,25.033333,CC,40.0,3,0.11896486764922233,0.0,0.0,True
71,T,M,S,0,65000.0,Y,45.653333,Auto,137.0,4,0.6725484262080789,0.5,0.75,True
72,F,M,M,2,1406.05,Y,19.306667,CC,26.72,1,0.3174135133526063,0.5,0.25,False
73,F,F,S,0,73228.3,N,62.0,Auto,50.58,4,0.4639512669833656,0.5,0.5,True
74,F,F,S,2,76231.9,N,63.806667000000004,Auto,152.76,2,0.19413088061104006,0.0,0.25,False
75,T,M,M,1,64792.3,N,52.146667,CH,51.41,3,0.2833138655809709,0.5,0.25,False
76,T,F,S,0,93322.1,Y,40.313333,CH,38.72,1,0.7233091659668104,0.5,0.75,True
77,T,M,M,1,63437.3,N,63.653332999999996,CC,14.98,4,0.20512268023022875,0.0,0.25,False
78,F,M,M,2,49910.7,Y,51.52,CC,51.14,3,0.18015501075773224,0.0,0.25,True
79,T,M,M,0,76161.4,Y,44.573333,CC,37.55,4,0.3937269385113986,0.5,0.5,False
80,F,F,M,2,55860.0,Y,14.573332999999998,CC,26.37,3,0.1655944811839203,0.0,0.25,False
81,T,F,S,1,12686.0,N,64.8,Auto,103.88,2,0.5216317632196684,0.5,0.5,False
82,F,M,M,2,57360.8,Y,53.253333,CC,67.61,1,0.1556983905157172,0.0,0.25,False
83,T,M,M,0,92414.7,Y,45.513333,CC,40.06,4,0.3378644097441725,0.5,0.25,False
84,T,M,M,1,60102.7,N,42.14,CH,72.29,3,0.3241411253499214,0.5,0.25,False
85,F,F,M,2,17888.7,N,55.0,CC,361.88,1,0.347114642263796,0.5,0.25,False
